name	length	8Cell_SRR17972758_Rep1_R1	8Cell_SRR17972759_Rep2_R1	8Cell_SRR17972760_Rep3_R1	8Cell_SRR17972761_Rep4_R1	8Cell_SRR17972762_Rep5_R1	8Cell_SRR17972763_Rep6_R1	8Cell_SRR17972764_Rep7_R1	8Cell_SRR17972765_Rep8_R1	8Cell_SRR17972820_Rep9_R1	8Cell_SRR17972821_Rep10_R1	8Cell_SRR17972822_Rep11_R1	8Cell_SRR17972832_Rep12_R1	8Cell_SRR17972833_Rep13_R1	8Cell_SRR17972834_Rep14_R1	8Cell_SRR17972835_Rep15_R1	8Cell_SRR17972836_Rep16_R1	8Cell_SRR17972837_Rep17_R1	8Cell_SRR17972838_Rep18_R1	8Cell_SRR17972839_Rep19_R1	8Cell_SRR17972840_Rep20_R1	8Cell_SRR17972841_Rep21_R1	8Cell_SRR17972842_Rep22_R1	8Cell_SRR17972843_Rep23_R1
20ALPHA-HSD	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	1737	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0
A1CF	9013	4	0	1	0	0	0	0	0	60	47	7	0	0	0	0	0	0	0	65	0	0	0	0
A2M	5077	69	0	0	0	6	0	116	0	67	62	463	0	0	97	24	0	0	0	0	0	0	0	0
A2ML1	4648	165	171	0	0	0	0	0	0	16	28	27	13	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	2782	0	0	29	0	0	0	248	0	4	10	14	0	156	0	0	0	15	0	0	0	117	0	0
A4GALT	5703	0	0	0	0	0	0	0	0	1	9	6	0	0	0	0	0	0	0	0	0	0	2	0
A4GNT	5109	0	0	129	0	0	79	0	0	5	8	0	79	0	30	49	20	0	32	16	174	38	0	0
AAAS	1850	1582	863	1956	948	1183	1329	1160	764	232	136	294	1832	1207	1663	1664	352	463	639	987	642	207	1531	844
AACS	3633	411	1	1521	540	1670	1195	3062	1244	89	109	275	4342	1706	7922	1681	6147	3516	3620	4690	2043	1361	2091	535
AADAC	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	4474	0	1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	1948	150	112	114	0	0	0	8	1	300	151	503	2	0	98	66	295	98	110	143	79	1	8	14
AAED1	2712	0	0	45	0	0	0	0	0	230	199	398	2	29	2	0	22	0	0	2	0	11	0	0
AAGAB	3315	1316	0	195	0	255	230	2	139	585	528	640	322	185	175	189	606	553	517	583	170	304	14	0
AAK1	11235	89	0	275	111	68	206	143	166	261	188	324	404	71	149	70	153	43	149	321	189	437	155	327
AAMDC	753	254	204	91	109	138	0	0	0	511	489	553	94	140	0	0	62	0	0	103	0	0	0	0
AAMP	1815	1433	0	757	2	1618	460	141	0	837	552	685	277	550	69	589	922	1547	1883	1043	1710	345	3669	3519
AANAT	1700	151	0	63	0	0	0	0	0	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	2771	4143	52	6384	1813	2997	2095	2225	2887	97	122	78	708	1785	2203	792	2723	2131	616	1403	719	0	1129	1306
AARD	1909	0	0	4	8	1	0	0	0	14	17	13	4	0	9	0	4	0	11	0	41	89	3	1
AARS2	3918	1	0	1	0	0	1	1390	0	21	30	30	1023	71	53	0	49	0	27	44	92	132	0	0
AARS	3757	3	0	113	965	1	1390	537	1	209	225	411	2064	0	533	455	2	0	3	0	1	22	0	0
AARSD1	3526	3799	3918	5162	3178	3012	2002	2754	1432	1549	1339	1639	2484	1575	2758	878	2233	3369	2537	4489	1984	1265	2468	993
AASDH	4068	34	0	105	89	148	0	187	0	379	346	373	293	132	87	80	11	57	1	80	59	43	4	0
AASDHPPT	6708	221	658	464	438	106	2	0	0	1895	1963	1763	102	299	0	0	66	133	175	61	113	81	1	0
AASS	8645	0	0	357	0	0	0	1	0	64	45	106	0	0	2	0	0	0	0	0	0	0	0	0
AATF	2578	921	63	177	0	25	0	274	0	512	603	350	1	16	22	0	86	3	271	95	331	0	9	10
AATK	5631	756	342	509	0	575	276	297	28	7	1	0	54	295	1530	268	778	536	460	1121	275	506	96	2
ABAT	5430	23	1	93	153	350	119	0	1059	34	78	40	78	0	125	120	190	52	81	71	536	259	291	106
ABCA10	6823	0	0	0	0	0	0	375	0	0	30	5	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	11663	2	0	0	0	0	1	2	0	22	62	91	0	78	242	0	21	0	81	2	528	17	0	69
ABCA12	8022	0	0	0	0	0	0	0	0	20	34	21	0	0	0	0	0	0	0	0	0	30	0	0
ABCA13	8372	27	0	3	0	318	0	0	0	0	5	0	3	253	13	347	391	503	92	389	171	10	68	75
ABCA2	8962	207	0	484	0	33	0	102	0	4	7	5	69	514	75	13	244	48	13	548	163	46	34	1
