name	length	Blastocyst_SRR17972766_Rep1_R1	Blastocyst_SRR17972767_Rep1_R1	Blastocyst_SRR17972768_Rep1_R1	Blastocyst_SRR17972769_Rep1_R1	Blastocyst_SRR17972770_Rep1_R1	Blastocyst_SRR17972771_Rep1_R1	Blastocyst_SRR17972772_Rep1_R1	Blastocyst_SRR17972773_Rep1_R1	Blastocyst_SRR17972774_Rep1_R1	Blastocyst_SRR17972775_Rep1_R1	Blastocyst_SRR17972776_Rep1_R1	Blastocyst_SRR17972777_Rep1_R1	Blastocyst_SRR17972778_Rep1_R1	Blastocyst_SRR17972779_Rep1_R1	Blastocyst_SRR17972780_Rep1_R1	Blastocyst_SRR17972781_Rep1_R1	Blastocyst_SRR17972782_Rep1_R1	Blastocyst_SRR17972783_Rep1_R1	Blastocyst_SRR17972784_Rep1_R1	Blastocyst_SRR17972785_Rep1_R1	Blastocyst_SRR17972814_Rep1_R1	Blastocyst_SRR17972815_Rep1_R1	Blastocyst_SRR17972816_Rep1_R1
20ALPHA-HSD	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
A1BG	1737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
A1CF	9013	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	1
A2M	5077	1352	763	406	474	345	537	466	808	334	329	847	249	87	237	188	190	309	97	1077	76	368	243	198
A2ML1	4648	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	41	17
A3GALT2	2782	0	0	32	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	5	4	3
A4GALT	5703	325	298	306	364	268	305	156	219	296	126	64	131	273	183	131	150	64	99	0	187	195	140	131
A4GNT	5109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3
AAAS	1850	2436	1168	1340	982	1751	1384	1229	1116	411	713	253	741	164	443	36	288	419	64	1	7	105	92	50
AACS	3633	1	364	103	171	133	30	26	51	111	115	343	14	54	0	230	184	39	27	0	0	159	101	91
AADAC	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AADACL3	4474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AADACL4	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
AADAT	1948	0	8	21	139	74	40	0	0	0	60	52	93	0	1	26	97	8	0	0	0	102	84	63
AAED1	2712	84	152	613	386	422	327	653	524	253	339	117	234	169	110	76	269	55	172	1	15	426	379	302
AAGAB	3315	1440	612	1472	583	59	397	838	511	341	612	26	66	404	353	91	302	24	681	2	71	495	494	226
AAK1	11235	178	120	187	112	137	102	192	90	281	114	219	300	261	130	132	120	195	97	1	102	74	121	47
AAMDC	753	185	157	305	141	305	108	80	159	54	110	0	80	246	226	0	80	110	62	0	17	116	89	98
AAMP	1815	245	590	512	754	91	189	121	237	119	72	34	29	58	59	22	116	37	79	5	42	213	166	211
AANAT	1700	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0
AAR2	2771	880	908	533	483	1184	723	88	605	324	633	94	442	1	506	27	117	19	10	0	72	88	67	30
AARD	1909	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3
AARS2	3918	139	385	64	435	75	88	3	0	0	68	1	89	0	93	91	0	1	87	0	1	50	55	29
AARS	3757	1496	864	778	1591	543	790	685	656	157	413	310	149	272	252	177	200	502	406	12	297	946	674	690
AARSD1	3526	3795	1899	1273	1523	933	1233	872	610	72	804	421	844	367	389	88	459	332	206	8	42	387	280	318
AASDH	4068	0	43	26	102	5	233	2	18	5	151	14	0	0	54	102	3	8	1	2	3	160	148	99
AASDHPPT	6708	693	467	1475	850	317	414	563	265	151	856	12	379	494	28	206	81	416	178	22	130	1022	885	885
AASS	8645	0	43	54	49	0	9	308	26	10	36	0	2	32	62	0	5	4	8	0	49	259	202	74
AATF	2578	73	155	204	230	61	85	45	17	304	4	77	202	2	7	14	38	120	68	1	84	124	113	78
AATK	5631	0	0	0	0	0	16	0	0	2	0	112	0	0	0	0	0	20	0	0	0	1	1	4
ABAT	5430	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	17	5	10
ABCA10	6823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	5
ABCA1	11663	127	178	411	362	212	167	394	154	121	131	222	424	156	597	226	542	118	215	2	89	635	675	333
ABCA12	8022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4
ABCA13	8372	0	0	0	136	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	5
ABCA2	8962	0	0	2	18	46	0	0	0	4	1	0	0	0	0	3	0	0	0	0	0	3	3	9
ABCA3	6603	358	741	172	634	68	196	117	211	37	48	377	77	12	21	207	0	1	195	0	13	105	99	34
ABCA4	7708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	4
ABCA5	5292	0	25	9	13	0	6	0	0	24	1	2	4	92	0	31	1	0	9	0	0	53	64	32
ABCA6	6853	0	69	0	0	0	0	0	0	0	28	63	0	0	0	1	0	27	0	1	0	39	28	8
ABCA7	7545	0	0	0	28	0	0	0	0	0	0	48	0	0	0	4	0	0	0	1	0	6	19	6
ABCA9	8393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	3
