name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
20ALPHA-HSD	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	1737	805	58	140	238	243	259	485	227	355	65	110	58	120	78	26	62	2	5	9	54	88	133	70
A1CF	9013	0	0	34	0	0	0	41	0	0	55	7	15	23	23	17	16	24	31	42	10	3	0	17
A2M	5077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	23
A2ML1	4648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
A3GALT2	2782	0	19	35	22	13	15	30	27	19	19	27	14	34	17	22	30	5	1	6	16	8	41	20
A4GALT	5703	91	40	44	46	193	26	30	12	43	6	40	20	38	7	18	3	115	269	198	39	33	256	160
A4GNT	5109	337	68	30	40	63	61	50	54	74	72	65	59	54	32	27	29	13	17	12	84	78	128	168
AAAS	1850	2975	9169	10380	13098	9435	12147	9936	12539	6658	10683	6404	9408	4667	5676	4245	5987	225	304	220	2990	4035	1899	2611
AACS	3633	2098	4492	3496	4441	1997	3583	3834	3969	4067	7201	4313	4570	1515	5283	1521	2769	258	337	359	375	644	2416	3064
AADAC	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	4474	0	0	11	0	0	1	0	30	0	10	9	6	11	6	3	5	4	0	1	15	6	0	0
AADACL4	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AADAT	1948	0	157	287	193	98	217	99	316	524	466	628	536	1049	1462	677	1362	554	607	447	235	306	258	143
AAED1	2712	0	61	134	51	24	47	34	38	0	65	72	70	138	179	77	136	176	174	199	146	94	96	98
AAGAB	3315	46	300	320	448	163	173	567	390	89	325	416	392	733	534	566	458	395	439	478	622	506	310	341
AAK1	11235	41	36	154	73	60	51	41	90	215	67	142	76	157	346	97	115	38	93	48	56	52	120	154
AAMDC	753	0	2	5	26	31	1	27	7	0	0	25	6	21	9	16	14	17	27	30	27	37	107	6
AAMP	1815	0	0	49	36	51	97	49	10	133	31	2	24	64	66	4	50	107	132	126	5	19	163	86
AANAT	1700	0	0	0	0	0	0	1	0	0	12	13	0	18	2	5	3	0	0	0	0	3	0	15
AAR2	2771	1	1507	989	1698	1773	1716	1446	1758	375	1688	1123	1016	429	836	434	659	8	13	18	103	184	5	700
AARD	1909	0	25	26	34	23	24	102	94	67	52	81	94	220	289	99	257	75	84	74	50	43	87	71
AARS2	3918	0	0	109	4	66	133	127	27	0	81	43	75	29	54	36	30	4	2	0	30	55	5	15
AARS	3757	237	390	3	37	121	137	194	417	8	648	473	441	309	337	89	198	13	25	17	54	44	27	12
AARSD1	3526	1516	2261	2460	2301	2092	2411	3146	2918	3319	2112	2785	2040	2662	1788	2428	2179	893	1002	961	1466	1538	1232	1089
AASDH	4068	475	573	529	352	526	160	185	269	187	332	105	159	166	265	95	108	2027	1908	1778	82	87	523	12
AASDHPPT	6708	4	29	37	23	30	20	16	68	69	30	38	67	90	48	31	48	215	203	223	50	46	4	22
AASS	8645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	3	0	0	0	0
AATF	2578	0	45	81	61	174	35	30	92	345	225	102	220	207	329	384	350	169	188	141	278	267	235	242
AATK	5631	0	218	162	147	359	259	205	157	171	238	132	174	141	200	81	91	4	10	4	69	72	107	367
ABAT	5430	386	252	434	453	607	281	638	484	476	547	384	360	422	472	263	393	52	87	103	638	597	1611	1296
ABCA10	6823	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	0
ABCA1	11663	81	214	300	399	154	176	360	510	256	572	346	821	447	555	164	208	86	74	100	104	144	184	159
ABCA12	8022	0	13	31	54	35	31	2	0	0	15	0	52	17	72	37	19	157	199	116	17	32	58	28
ABCA13	8372	2	31	162	64	31	146	216	161	96	170	125	220	136	92	82	86	7	19	12	73	37	54	218
ABCA2	8962	0	55	51	205	145	108	117	2	33	27	85	23	87	91	21	119	0	7	5	57	83	105	39
ABCA3	6603	21	55	538	20	743	202	756	211	561	272	780	191	387	430	50	130	6	8	3	92	87	78	76
ABCA4	7708	421	1546	1432	1268	1473	1054	1589	1319	1392	1180	1309	1080	1243	861	989	942	855	714	730	1109	1091	1167	984
ABCA5	5292	15	47	68	55	81	96	48	148	78	235	85	256	111	268	41	94	281	350	294	45	66	213	47
