name	length	Morula_SRR17972742_Rep1_R1	Morula_SRR17972743_Rep1_R1	Morula_SRR17972744_Rep1_R1	Morula_SRR17972745_Rep1_R1	Morula_SRR17972746_Rep1_R1	Morula_SRR17972747_Rep1_R1	Morula_SRR17972748_Rep1_R1	Morula_SRR17972749_Rep1_R1	Morula_SRR17972750_Rep1_R1	Morula_SRR17972751_Rep1_R1	Morula_SRR17972752_Rep1_R1	Morula_SRR17972753_Rep1_R1	Morula_SRR17972754_Rep1_R1	Morula_SRR17972755_Rep1_R1	Morula_SRR17972756_Rep1_R1	Morula_SRR17972757_Rep1_R1	Morula_SRR17972786_Rep1_R1	Morula_SRR17972787_Rep1_R1	Morula_SRR17972788_Rep1_R1	Morula_SRR17972789_Rep1_R1	Morula_SRR17972817_Rep1_R1	Morula_SRR17972818_Rep1_R1	Morula_SRR17972819_Rep1_R1
20ALPHA-HSD	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	1737	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A1CF	9013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	10	6	0
A2M	5077	100	246	292	128	63	16	503	1	0	60	1	731	35	126	246	2	676	227	485	0	138	302	250
A2ML1	4648	1	532	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	36	125	0	56	98	43
A3GALT2	2782	17	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	0	1
A4GALT	5703	65	3	89	5	63	0	245	0	47	1	11	49	4	0	19	9	26	6	22	1	3	1	10
A4GNT	5109	0	0	11	0	0	0	0	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0	1
AAAS	1850	2862	598	3073	571	2785	483	1230	639	1353	734	2043	1796	609	1	713	24	3921	1058	4811	962	204	278	283
AACS	3633	110	508	69	126	475	123	838	0	426	209	560	331	276	6	2	1	1135	335	890	0	86	105	82
AADAC	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	4474	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	1948	143	62	240	20	23	0	0	0	185	0	94	21	22	147	10	0	323	34	150	0	334	463	359
AAED1	2712	180	123	400	235	340	75	469	24	254	3	111	19	52	20	202	3	281	171	266	1293	620	519	616
AAGAB	3315	514	357	490	105	463	40	475	9	362	63	416	474	78	123	551	3	861	846	1094	1	614	760	688
AAK1	11235	98	218	163	130	82	85	664	206	225	46	204	185	137	140	63	72	137	51	395	118	137	212	189
AAMDC	753	66	11	326	183	251	50	173	85	37	0	35	0	103	165	74	9	172	794	353	631	657	715	595
AAMP	1815	1734	988	676	265	384	656	6	660	116	6	264	21	113	242	572	424	426	945	1819	4645	893	956	1325
